dialogue_id,domain,question,expected_value,adaptive_rule_mem_acc,adaptive_llm_mem_acc,window_mem_acc,summary_mem_acc,retrieval_mem_acc,adaptive_rule_q_correct,adaptive_llm_q_correct,window_q_correct,summary_q_correct,retrieval_q_correct,adaptive_rule_response,adaptive_llm_response,window_response,summary_response,retrieval_response,adaptive_rule_errors,adaptive_llm_errors,window_errors,summary_errors,retrieval_errors,adaptive_rule_prompt_tokens,adaptive_llm_prompt_tokens,window_prompt_tokens,summary_prompt_tokens,retrieval_prompt_tokens
hard_dialogue_1,food_preferences,What kind of dinner should I eat tonight?,vegan,0.5,1.0,0.0,0.5,0.5,1,1,0,0,0,You should choose a vegan dinner option.,You should choose a vegan dinner option.,I do not know.,I do not know.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]",23,32,11,25,21
hard_dialogue_1,food_preferences,What coffee should I order?,decaf,0.5,1.0,0.0,0.5,0.5,0,1,0,1,1,I do not know.,You should order decaf coffee.,I do not know.,You should order decaf coffee.,You should order decaf coffee.,"[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]",19,28,7,21,17
hard_dialogue_2,scheduling,What time is my meeting now?,4pm,1.0,1.0,0.0,0.5,0.5,1,1,0,1,0,Your meeting is at 4pm.,Your meeting is at 4pm.,I do not know.,Your meeting is at 4pm.,Your meeting is at 3pm.,[],[],"[{'error_type': 'slot_extraction_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]","[{'error_type': 'update_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': '3pm'}]",24,29,8,18,16
hard_dialogue_2,scheduling,What kind of seat should I choose for my flight?,window,1.0,1.0,0.0,0.5,0.5,1,1,0,0,1,You should choose a window seat.,You should choose a window seat.,I do not know.,I do not know.,You should choose a window seat.,[],[],"[{'error_type': 'slot_extraction_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]","[{'error_type': 'update_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': '3pm'}]",29,34,13,23,21
hard_dialogue_3,travel_food,What kind of hotel should I book?,budget,0.5,1.0,0.0,1.0,1.0,0,1,0,1,1,I do not know.,You should book a budget hotel.,I do not know.,You should book a budget hotel.,You should book a budget hotel.,"[{'error_type': 'slot_extraction_failure', 'key': 'hotel_type', 'expected': 'budget', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'hotel_type', 'expected': 'budget', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]",[],[],18,22,9,22,18
hard_dialogue_3,travel_food,What kind of cuisine should I choose for dinner?,italian,0.5,1.0,0.0,1.0,1.0,1,1,0,1,1,You should choose Italian cuisine.,You should choose Italian cuisine.,I do not know.,You should choose Italian cuisine.,You should choose Italian cuisine.,"[{'error_type': 'slot_extraction_failure', 'key': 'hotel_type', 'expected': 'budget', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'hotel_type', 'expected': 'budget', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]",[],[],22,26,13,26,22
hard_dialogue_4,health_constraints,What dessert would be safe for me?,peanuts,0.0,0.5,0.0,0.5,0.5,0,0,0,0,0,I do not know.,I do not know.,I do not know.,I do not know.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]",22,21,9,21,13
hard_dialogue_4,health_constraints,What coffee should I order?,decaf,0.0,0.5,0.0,0.5,0.5,0,1,0,1,1,I do not know.,You should order decaf coffee.,I do not know.,You should order decaf coffee.,You should order decaf coffee.,"[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]",20,19,7,19,11
hard_dialogue_5,work_and_hobbies,Which programming language should I practice with?,python,0.5,0.5,0.0,0.5,1.0,1,1,0,1,1,You should practice with Python.,You should practice with Python.,I do not know.,You should practice with Python.,You should practice with Python.,"[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]",[],17,20,13,20,21
hard_dialogue_5,work_and_hobbies,What hobby-related activity should I do this weekend?,painting,0.5,0.5,0.0,0.5,1.0,0,0,0,0,1,I do not know.,I do not know.,I do not know.,I do not know.,You could do a painting-related activity this weekend.,"[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]",[],18,21,14,21,22
